               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.027672,           0.0097424,                   0,              0.8432,             0.71599,             0.79998,             0.42706,            0.033601,           0.0078833,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.027877,           0.0096916,                   0,             0.81054,             0.76006,             0.81125,              0.4307,             0.03449,           0.0076788,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.029443,            0.010498,                   0,              0.8442,             0.73509,             0.82591,             0.44818,            0.032155,           0.0076012,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.026847,           0.0096701,                   0,             0.82352,              0.7337,             0.81077,             0.44141,            0.032376,           0.0076118,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.027028,           0.0098215,                   0,             0.85704,             0.71944,             0.80326,             0.41545,            0.032382,           0.0076615,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.027006,           0.0097089,                   0,             0.84942,             0.74326,             0.82371,             0.44406,            0.032457,            0.007679,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.027274,            0.010412,                   0,             0.84787,             0.71905,             0.80804,             0.43973,             0.03281,           0.0077187,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.028117,            0.010445,                   0,              0.8287,              0.7767,             0.83433,             0.44701,            0.032211,           0.0075383,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.026314,             0.01026,                   0,             0.85846,             0.74064,             0.82004,              0.4526,            0.032377,           0.0074431,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.027157,            0.009362,                   0,              0.8532,             0.73355,              0.8172,             0.44551,            0.032246,           0.0074786,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.026865,           0.0096762,                   0,             0.85164,             0.72551,             0.81548,             0.43716,            0.032726,           0.0075943,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.026798,            0.010089,                   0,             0.85056,             0.72639,             0.81131,             0.43513,            0.032041,           0.0077047,                   0,            0.004786,            0.004786,            0.004786
                  81,             0.02581,           0.0098595,                   0,             0.79343,             0.77115,             0.81829,             0.43916,            0.032283,           0.0074425,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.027224,           0.0097261,                   0,             0.83846,             0.76528,             0.82695,             0.44927,            0.031527,           0.0072941,                   0,            0.004654,            0.004654,            0.004654
                  83,             0.02661,            0.010007,                   0,             0.86035,             0.71706,             0.81517,             0.43519,            0.032542,           0.0075102,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.027259,            0.010384,                   0,             0.86523,             0.72124,             0.81124,             0.42806,            0.031231,           0.0073773,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.025443,           0.0095787,                   0,             0.84299,             0.77809,             0.83452,             0.44398,            0.031352,           0.0073455,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.026363,           0.0099552,                   0,             0.84554,             0.73509,             0.81867,             0.43818,            0.032826,            0.007712,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.027029,            0.010045,                   0,             0.84324,             0.71151,              0.7953,              0.4215,            0.033487,           0.0079151,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.026195,            0.010254,                   0,             0.84308,             0.73786,             0.80946,             0.44239,            0.032285,           0.0075063,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.026435,           0.0099118,                   0,             0.85433,             0.74838,             0.82222,             0.43683,            0.033586,           0.0076498,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.025867,           0.0094539,                   0,             0.83306,             0.74749,             0.81929,              0.4358,            0.032724,           0.0076819,                   0,            0.004126,            0.004126,            0.004126
